frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
2.336614,86,0,772,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.336653,73,4,1,0,0x0800,4,20,0x00,0,57,0x40,1,64,17,0
2.336847,75,4,1,0,0x0800,4,20,0x00,0,59,0x40,1,64,17,0
2.336999,75,4,1,0,0x0800,4,20,0x00,0,59,0x40,1,64,17,0
2.337313,91,0,1,0,0x0800,4,20,0x00,0,75,0x00,0,64,17,0
2.337307,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.337465,126,0,1,0,0x0800,4,20,0x00,0,110,0x00,0,64,17,0
2.337496,102,0,772,0,0x0800,4,20,0x00,0,86,0x40,1,64,17,0
2.337779,104,4,1,0,0x0800,4,20,0x00,0,88,0x40,1,64,17,0
2.337907,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.337974,137,0,772,0,0x0800,4,20,0x00,0,121,0x40,1,64,17,0
2.338059,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.338063,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.338142,120,0,1,0,0x0800,4,20,0x00,0,104,0x00,0,64,17,0
2.338465,208,0,772,0,0x0800,4,20,0x00,0,192,0x40,1,64,17,0
2.338481,208,0,772,0,0x0800,4,20,0x00,0,192,0x40,1,64,17,0
2.338501,208,0,772,0,0x0800,4,20,0x00,0,192,0x40,1,64,17,0
2.338669,220,0,772,0,0x0800,4,20,0x00,0,204,0x40,1,64,17,0
2.338759,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.338919,220,0,772,0,0x0800,4,20,0x00,0,204,0x40,1,64,17,0
2.339214,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.342433,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.34268,104,4,1,0,0x0800,4,20,0x00,0,88,0x40,1,64,17,0
2.342731,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.343001,220,0,772,0,0x0800,4,20,0x00,0,204,0x40,1,64,17,0
2.343102,120,0,1,0,0x0800,4,20,0x00,0,104,0x00,0,64,17,0
2.343176,208,0,772,0,0x0800,4,20,0x00,0,192,0x40,1,64,17,0
2.345288,227,0,1,0,0x0800,4,20,0x00,0,211,0x00,0,64,17,0
2.345511,115,4,1,0,0x0800,4,20,0x00,0,99,0x40,1,64,17,0
2.346715,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,56,6,0
2.34674,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.348424,585,4,1,0,0x0800,4,20,0x00,0,569,0x40,1,64,6,0
2.354524,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.370105,132,0,1,0,0x0800,4,20,0x00,0,116,0x00,0,64,17,0
2.370349,101,0,1,0,0x0800,4,20,0x00,0,85,0x00,0,64,17,0
2.370455,86,0,772,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.370521,112,0,772,0,0x0800,4,20,0x00,0,96,0x40,1,64,17,0
2.377213,197,0,1,0,0x0800,4,20,0x00,0,181,0x00,0,64,17,0
2.377339,156,0,772,0,0x0800,4,20,0x00,0,140,0x40,1,64,17,0
2.37773,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.380198,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.383112,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.383127,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.383198,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.383207,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.383334,1785,0,1,0,0x0800,4,20,0x00,0,1769,0x00,0,56,6,0
2.383339,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.387436,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.387453,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.387585,1468,0,1,0,0x0800,4,20,0x00,0,1452,0x00,0,56,6,0
2.387593,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.387684,1589,0,1,0,0x0800,4,20,0x00,0,1573,0x00,0,56,6,0
2.387688,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.389375,76,0,1,0,0x0800,4,20,0x80,32,60,0x40,1,119,6,0
2.389399,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.394059,138,0,1,0,0x0800,4,20,0x00,0,122,0x00,0,64,17,0
2.394378,149,0,772,0,0x0800,4,20,0x00,0,133,0x40,1,64,17,0
2.400436,371,4,1,0,0x0800,4,20,0x00,0,355,0x40,1,64,6,0
2.40057,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.42274,108,0,772,0,0x0800,4,20,0x00,0,92,0x40,1,64,17,0
2.422905,97,4,1,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.423778,86,0,772,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.423937,137,0,772,0,0x0800,4,20,0x00,0,121,0x40,1,64,17,0
